metric,baseline,prefetch,change_pct,improved
Avg Steps,16.15,14.55,-9.907120743034044,True
Avg Cost ($),0.05222026,0.04364831499999999,-16.414979550082677,True
Avg Paging Ops,5.65,5.25,-7.079646017699121,True
Read Duplication Rate,0.5628571428571428,0.535091575091575,-4.932968892359765,True
Front 25% Explore Ratio,0.6846103896103896,0.7658333333333333,11.86411204906889,False
Avg Explore Chain Len,1.95,2.15,10.256410256410255,False
